1 , Generation , 1 , Euclid , 0
1 , Generation , 2 , Euclid , 0
1 , Generation , 3 , Euclid , 0
1 , Generation , 4 , Euclid , 0
1 , Generation , 5 , Euclid , 0
1 , Generation , 6 , Euclid , 0
1 , Generation , 7 , Euclid , 0
1 , Generation , 8 , Euclid , 0
1 , Generation , 1 , Euclid , 149.5300609426032
1 , Generation , 2 , Euclid , 0
1 , Generation , 3 , Euclid , 230.5704980100505
1 , Generation , 4 , Euclid , 159.82052680188593
1 , Generation , 5 , Euclid , 17.852445823065086
1 , Generation , 6 , Euclid , 261.5305445784303
1 , Generation , 7 , Euclid , 133.27455060153042
1 , Generation , 8 , Euclid , 206.47933826472868
1 , Generation , 6 , Euclid , 523.0610891568606
2 , Generation , 10 , Euclid , 180.88029941932882
2 , Generation , 11 , Euclid , 171.69171443764307
2 , Generation , 12 , Euclid , 10.51047875298447
2 , Generation , 13 , Euclid , 7.9621811967924785
2 , Generation , 14 , Euclid , 3.5301478869092606
2 , Generation , 15 , Euclid , 39.54699719682192
2 , Generation , 16 , Euclid , 115.05512659714059
2 , Generation , 17 , Euclid , 237.12345617772047
2 , Generation , 17 , Euclid , 734.0214398041769
1 , Generation , 6 , Euclid , 784.59163373529
3 , Generation , 18 , Euclid , 15.257990527244434
3 , Generation , 19 , Euclid , 11.514743921254757
3 , Generation , 20 , Euclid , 75.27351799626543
